Index,loudness
113,-37.398
242,-38.525
667,-36.835
746,-37.065
1425,-34.703
1612,-34.033
1745,-35.702
39,-19.478
60,-21.552
69,-26.266
105,-27.433
156,-23.988
171,-28.347
175,-25.694
180,-19.821
191,-23.527
220,-24.597
223,-29.295
246,-19.794
276,-20.964
292,-21.787
296,-21.25
300,-32.017
321,-23.996
325,-22.289
337,-26.358
339,-21.593
350,-22.752
389,-22.35
400,-19.263
408,-25.146
418,-19.461
449,-20.842
452,-27.806
464,-23.685
485,-22.825
500,-20.284
506,-22.271
507,-19.976
515,-26.626
532,-20.846
587,-21.978
604,-19.157
610,-24.83
611,-23.15
622,-20.193
637,-29.75
645,-20.816
647,-20.359
649,-23.095
664,-21.835
668,-23.874
680,-30.293
691,-22.196
758,-31.412
764,-21.412
780,-22.492
840,-20.446
855,-21.881
863,-19.376
889,-21.723
892,-21.506
921,-28.946
932,-19.492
934,-19.602
944,-21.854
968,-20.826
980,-20.302
1033,-23.519
1035,-20.082
1050,-29.521
1065,-23.684
1068,-19.991
1070,-24.986
1077,-23.771
1091,-21.361
1119,-21.511
1122,-23.347
1144,-20.026
1146,-20.02
1152,-24.422
1159,-28.2
1201,-21.177
1221,-27.369
1225,-21.761
1231,-19.814
1261,-27.858
1278,-23.73
1300,-20.18
1320,-19.24
1332,-19.569
1342,-26.343
1351,-20.696
1361,-28.475
1423,-20.832
1432,-19.76
1434,-20.444
1445,-21.997
1448,-19.87
1465,-24.773
1484,-29.692
1491,-19.368
1511,-20.174
1529,-25.585
1534,-19.751
1540,-21.858
1562,-22.088
1563,-19.736
1601,-22.272
1618,-23.549
1640,-22.645
1643,-20.575
1645,-23.155
1669,-20.142
1680,-26.997
1684,-20.524
1702,-20.373
1709,-20.819
1713,-21.63
1729,-19.544
1731,-23.815
1777,-28.346
1865,-22.803
1883,-20.142
1894,-26.393
1939,-24.98
1942,-20.499
1954,-19.963
1961,-22.104
1962,-20.536
1963,-22.517
1966,-19.64
1967,-22.384
1979,-19.633
1982,-25.678
1990,-26.356
0,-11.197
1,-9.843
2,-9.689
3,-9.013
4,-4.501
5,-9.323
6,-17.302
7,-11.642
8,-13.496
9,-6.697
10,-10.021
11,-7.545
12,-6.632
13,-7.75
14,-8.346
15,-8.576
16,-16.11
17,-8.032
18,-5.271
19,-6.787
20,-15.221
21,-8.514
22,-8.05
23,-4.264
24,-12.332
25,-5.908
26,-6.486
27,-4.516
28,-9.616
29,-18.051
30,-11.939
31,-15.335
32,-10.922
33,-9.983
34,-7.762
35,-9.512
36,-9.063
37,-8.879
38,-17.699
40,-7.469
41,-2.022
42,-10.358
43,-12.716
44,-15.663
45,-6.944
46,-7.805
47,-10.7
48,-10.93
49,-9.493
50,-9.253
51,-12.009
52,-11.043
53,-11.506
54,-14.179
55,-8.531
56,-8.541
57,-6.629
58,-13.33
59,-12.412
61,-8.686
62,-6.222
63,-5.907
64,-4.638
65,-5.884
66,-7.787
67,-8.488
68,-9.603
70,-6.305
71,-9.998
72,-9.161
73,-4.865
74,-4.882
75,-12.951
76,-11.751
77,-6.693
78,-9.091
79,-2.658
80,-4.42
81,-11.051
82,-9.97
83,-11.335
84,-15.581
85,-11.98
86,-11.215
87,-8.165
88,-12.69
89,-8.7
90,-5.758
91,-4.907
92,-8.133
93,-9.093
94,-10.296
95,-12.839
96,-13.71
97,-2.119
98,-14.438
99,-13.002
100,-12.004
101,-8.37
102,-11.829
103,-6.29
104,-15.761
106,-5.701
107,-8.709
108,-13.627
109,-11.479
110,-6.302
111,-10.466
112,-9.275
114,-13.836
115,-7.103
116,-13.495
117,-15.144
118,-12.991
119,-6.01
120,-5.58
121,-4.313
122,-17.285
123,-5.931
124,-14.248
125,-12.651
126,-16.056
127,-5.913
128,-5.541
129,-6.019
130,-4.953
131,-18.114
132,-11.061
133,-7.04
134,-15.358
135,-11.213
136,-5.904
137,-8.095
138,-7.982
139,-8.804
140,-5.699
141,-5.152
142,-9.965
143,-11.976
144,-10.229
145,-6.284
146,-3.818
147,-4.633
148,-5.602
149,-5.157
150,-1.925
151,-5.21
152,-12.717
153,-12.28
154,-9.748
155,-4.878
157,-9.414
158,-9.741
159,-11.965
160,-12.779
161,-8.403
162,-13.251
163,-5.884
164,-6.929
165,-4.198
166,-6.998
167,-12.772
168,-18.147
169,-7.661
170,-17.308
172,-2.869
173,-7.309
174,-15.351
176,-9.435
177,-4.793
178,-17.623
179,-6.2
181,-9.632
182,-5.671
183,-11.708
184,-16.968
185,-13.038
186,-10.647
187,-4.172
188,-10.756
189,-3.422
190,-12.26
192,-9.435
193,-8.639
194,-7.672
195,-13.668
196,-6.885
197,-4.2
198,-16.433
199,-6.951
200,-14.737
